,regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
0,Brasil,,76,2020-08-01,31,210147125.0,2707877,45392,93563,1088
1,Brasil,,76,2020-08-02,32,210147125.0,2733677,25800,94104,541
2,Brasil,,76,2020-08-03,32,210147125.0,2750318,16641,94665,561
3,Brasil,,76,2020-08-04,32,210147125.0,2801921,51603,95819,1154
4,Brasil,,76,2020-08-05,32,210147125.0,2857597,55676,97240,1421
5,Brasil,,76,2020-08-06,32,210147125.0,2912212,54615,98493,1253
6,Brasil,,76,2020-08-07,32,210147125.0,2962442,50230,99572,1079
7,Brasil,,76,2020-08-08,32,210147125.0,3012412,49970,100477,905
8,Brasil,,76,2020-08-09,33,210147125.0,3035422,23010,101049,572
9,Brasil,,76,2020-08-10,33,210147125.0,3057470,22048,101752,703
10,Brasil,,76,2020-08-11,33,210147125.0,3109630,52160,103026,1274
11,Brasil,,76,2020-08-12,33,210147125.0,3164785,55155,104201,1175
12,Brasil,,76,2020-08-13,33,210147125.0,3224876,60091,105463,1262
13,Brasil,,76,2020-08-14,33,210147125.0,3275520,50644,106523,1060
14,Brasil,,76,2020-08-15,33,210147125.0,3317096,41576,107232,709
15,Brasil,,76,2020-08-16,34,210147125.0,3340197,23101,107852,620
16,Brasil,,76,2020-08-17,34,210147125.0,3359570,19373,108536,684
17,Brasil,,76,2020-08-18,34,210147125.0,3407354,47784,109888,1352
18,Brasil,,76,2020-08-19,34,210147125.0,3456652,49298,111100,1212
19,Brasil,,76,2020-08-20,34,210147125.0,3501975,45323,112304,1204
20,Brasil,,76,2020-08-21,34,210147125.0,3532330,30355,113358,1054
21,Brasil,,76,2020-08-22,34,210147125.0,3582362,50032,114250,892
22,Brasil,,76,2020-08-23,35,210147125.0,3605783,23421,114744,494
23,Brasil,,76,2020-08-24,35,210147125.0,3622861,17078,115309,565
24,Brasil,,76,2020-08-25,35,210147125.0,3669995,47134,116580,1271
25,Brasil,,76,2020-08-26,35,210147125.0,3717156,47161,117665,1085
26,Brasil,,76,2020-08-27,35,210147125.0,3761391,44235,118649,984
27,Brasil,,76,2020-08-28,35,210147125.0,3804803,43412,119504,855
28,Brasil,,76,2020-08-29,35,210147125.0,3846153,41350,120462,958
29,Brasil,,76,2020-08-30,36,210147125.0,3862311,16158,120828,366
30,Brasil,,76,2020-08-31,36,210147125.0,3908272,45961,121381,553
31,Brasil,,76,2020-09-01,36,210147125.0,3950931,42659,122596,1215
32,Brasil,,76,2020-09-02,36,210147125.0,3997865,46934,123780,1184
33,Brasil,,76,2020-09-03,36,210147125.0,4041638,43773,124614,834
34,Brasil,,76,2020-09-04,36,210147125.0,4092832,51194,125521,907
35,Brasil,,76,2020-09-05,36,210147125.0,4123000,30168,126203,682
36,Brasil,,76,2020-09-06,37,210147125.0,4137521,14521,126650,447
37,Brasil,,76,2020-09-07,37,210147125.0,4147794,10273,126960,310
38,Brasil,,76,2020-09-08,37,210147125.0,4162073,14279,127464,504
39,Brasil,,76,2020-09-09,37,210147125.0,4197889,35816,128539,1075
40,Brasil,,76,2020-09-10,37,210147125.0,4238446,40557,129522,983
41,Brasil,,76,2020-09-11,37,210147125.0,4282164,43718,130396,874
42,Brasil,,76,2020-09-12,37,210147125.0,4315687,33523,131210,814
43,Brasil,,76,2020-09-13,38,210147125.0,4330455,14768,131625,415
44,Brasil,,76,2020-09-14,38,210147125.0,4345610,15155,132006,381
45,Brasil,,76,2020-09-15,38,210147125.0,4382263,36653,133119,1113
46,Brasil,,76,2020-09-16,38,210147125.0,4419083,36820,134106,987
47,Brasil,,76,2020-09-17,38,210147125.0,4455386,36303,134935,829
48,Brasil,,76,2020-09-18,38,210147125.0,4495183,39797,135793,858
49,Brasil,,76,2020-09-19,38,210147125.0,4528240,33057,136532,739
50,Brasil,,76,2020-09-20,39,210147125.0,4544629,16389,136895,363
51,Brasil,,76,2020-09-21,39,210147125.0,4558068,13439,137272,377
52,Brasil,,76,2020-09-22,39,210147125.0,4591604,33536,138108,836
53,Brasil,,76,2020-09-23,39,210147125.0,4624885,33281,138977,869
54,Brasil,,76,2020-09-24,39,210147125.0,4657702,32817,139808,831
55,Brasil,,76,2020-09-25,39,210147125.0,4689613,31911,140537,729
56,Brasil,,76,2020-09-26,39,210147125.0,4717991,28378,141406,869
57,Brasil,,76,2020-09-27,40,210147125.0,4732309,14318,141741,335
58,Brasil,,76,2020-09-28,40,210147125.0,4745464,13155,142058,317
59,Brasil,,76,2020-09-29,40,210147125.0,4777522,32058,142921,863
60,Brasil,,76,2020-09-30,40,210147125.0,4810935,33413,143952,1031
61,Brasil,,76,2020-10-01,40,210147125.0,4847092,36157,144680,728
62,Brasil,,76,2020-10-02,40,210147125.0,4880523,33431,145388,708
63,Brasil,,76,2020-10-03,40,210147125.0,4906833,26310,145987,599
64,Brasil,,76,2020-10-04,41,210147125.0,4915289,8456,146352,365
65,Brasil,,76,2020-10-05,41,210147125.0,4927235,11946,146675,323
66,Brasil,,76,2020-10-06,41,210147125.0,4969141,41906,147494,819
67,Brasil,,76,2020-10-07,41,210147125.0,5000694,31553,148228,734
68,Brasil,,76,2020-10-08,41,210147125.0,5028444,27750,148957,729
69,Brasil,,76,2020-10-09,41,210147125.0,5055888,27444,149639,682
70,Brasil,,76,2020-10-10,41,210147125.0,5082637,26749,150198,559
71,Brasil,,76,2020-10-11,42,210147125.0,5094979,12342,150488,290
72,Brasil,,76,2020-10-12,42,210147125.0,5103408,8429,150689,201
73,Brasil,,76,2020-10-13,42,210147125.0,5113628,10220,150998,309
74,Brasil,,76,2020-10-14,42,210147125.0,5140863,27235,151747,749
75,Brasil,,76,2020-10-15,42,210147125.0,5169386,28523,152460,713
76,Brasil,,76,2020-10-16,42,210147125.0,5200300,30914,153214,754
77,Brasil,,76,2020-10-17,42,210147125.0,5224362,24062,153675,461
78,Brasil,,76,2020-10-18,43,210147125.0,5235344,10982,153905,230
79,Brasil,,76,2020-10-19,43,210147125.0,5250727,15383,154176,271
80,Brasil,,76,2020-10-20,43,210147125.0,5273954,23227,154837,661
81,Brasil,,76,2020-10-21,43,210147125.0,5298772,24818,155403,566
82,Brasil,,76,2020-10-22,43,210147125.0,5323630,24858,155900,497
83,Brasil,,76,2020-10-23,43,210147125.0,5353656,30026,156471,571
84,Brasil,,76,2020-10-24,43,210147125.0,5380635,26979,156903,432
85,Brasil,,76,2020-10-25,44,210147125.0,5394128,13493,157134,231
86,Brasil,,76,2020-10-26,44,210147125.0,5409854,15726,157397,263
